ID_Cliente,Edad,Estado_Civil,Ingreso_Mensual,Cuenta_Sueldo,Cantidad_Producto_Financiero_BBVA,Uso_Banca_Internet,Deuda_Total_Tarjeta_ Credito,Linea_Disponible_Tarjeta_Credito,Linea_Total_Tarjeta_Credito,Porcentaje_Linea_Utilizada,Cantidad TOTAL_Reclamos
ID1,29,0,14.21,1,4,0,2.12,107.88,110,2%,5
ID2,30,1,12.23,0,3,1,0,60,60,0%,9
ID3,30,1,18.88,1,4,1,3.15,8.7,11.85,27%,5
ID4,30,1,16.15,0,4,1,0,18,18,0%,4
ID5,31,0,14.51,0,2,1,2.34,15.66,18,13%,2
ID6,31,0,14.62,0,3,1,8.4,6.53,14.93,56%,7
ID7,32,1,16.5,0,2,1,0.04,29.96,30,0%,6
ID8,32,0,12.2,0,3,1,0,13,13,0%,4
ID9,32,0,18.78,0,4,1,9.84,0.62,10.46,94%,5
ID10,33,1,13.88,1,4,1,0,3,3,0%,7
ID11,33,0,17.63,1,4,1,5.76,12.72,18.48,31%,5
ID12,33,1,15,1,4,1,0.02,6.48,6.5,0%,3
ID13,33,0,12.24,0,4,1,0,40,40,0%,5
ID14,34,0,18.9,0,2,1,8.05,37.47,45.52,18%,4
ID15,34,0,17.29,1,2,1,0,6,6,0%,5
ID16,34,1,19.94,0,3,1,0,30,30,0%,4
ID17,34,1,12.43,1,4,1,11.77,3.16,14.93,79%,6
ID18,34,1,16.23,1,4,1,2.85,3.94,6.79,42%,1
ID19,34,0,19.33,0,4,1,0,34,34,0%,5
ID20,34,1,14.07,1,4,1,34.5,40,74.5,46%,6
ID21,35,1,16.23,0,2,0,0,100,100,0%,5
ID22,35,1,12.32,0,2,1,0,80,80,0%,6
ID23,35,1,14.23,0,2,1,0,60,60,0%,4
ID24,35,0,14.24,0,2,1,1.23,75.75,76.98,2%,6
ID25,36,0,19.99,0,2,0,0,70,70,0%,3
ID26,36,1,15.46,0,3,1,0.8,69.2,70,1%,5
ID27,36,0,14.53,0,2,1,0,80,80,0%,5
ID28,36,0,17.01,0,2,1,0.17,11.83,12,1%,7
ID29,36,1,14.76,0,2,0,0,120,120,0%,7
ID30,36,0,17.88,0,2,0,0,40,40,0%,4
ID31,36,0,14.16,0,2,0,0,40,40,0%,9
ID32,36,0,16.23,0,3,1,5.25,19.11,24.36,22%,3
ID33,36,0,13.58,0,3,0,0,19.25,19.25,0%,7
ID34,36,0,19.54,1,4,1,7.99,15.45,23.44,34%,6
ID35,36,1,16.6,1,4,1,4.26,15.42,19.68,22%,8
ID36,37,0,18.94,1,4,1,6.33,58.7,65.03,10%,2
ID37,37,1,18.67,1,4,1,3.55,76.45,80,4%,4
ID38,37,0,18.9,0,4,0,0.33,74.67,75,0%,5
ID39,37,3,16.37,0,2,1,0,80,80,0%,6
ID40,37,3,18.55,0,2,1,0,50,50,0%,6
ID41,37,3,13.7,0,3,1,0,17,17,0%,4
ID42,37,1,13.52,1,4,1,30.04,13.48,43.52,69%,9
ID43,37,0,18.5,1,4,1,5.83,125.18,131.01,4%,7
ID44,38,3,15.7,0,2,0,0,80,80,0%,6
ID45,38,3,19.08,1,4,1,0,60,60,0%,6
ID46,38,3,16.07,1,4,1,5.94,24.53,30.47,19%,3
ID47,38,3,15.06,0,2,0,0,70,70,0%,8
ID48,38,3,15.42,0,3,1,0.71,15.29,16,4%,4
ID49,38,1,19.39,1,3,1,0,35.5,35.5,0%,5
ID50,38,3,17.51,0,3,0,0,50,50,0%,3
ID51,38,3,18.39,1,3,1,6.59,13.91,20.5,32%,7
ID52,38,1,14.24,1,4,1,0,100,100,0%,3
ID53,38,3,17.67,0,4,1,13.73,57.27,71,19%,4
ID54,38,0,16.23,1,4,1,1.45,18.54,19.99,7%,3
ID55,39,1,16.47,0,2,1,0.99,69,69.99,1%,6
ID56,39,3,13.39,0,2,0,0,110,110,0%,5
ID57,39,3,19.41,0,3,1,0,80,80,0%,5
ID58,39,1,15.71,0,4,1,0,30,30,0%,2
ID59,39,3,13.8,0,2,0,0,70,70,0%,3
ID60,39,3,17.7,0,2,1,0,75,75,0%,7
ID61,39,3,18.82,0,2,1,0,20,20,0%,4
ID62,39,3,17.06,0,3,1,0,90,90,0%,7
ID63,39,3,16.46,0,3,1,0,76,76,0%,3
ID64,39,3,12.76,0,3,1,0,60,60,0%,5
ID65,39,3,14.85,0,4,1,18.01,5.9,23.91,75%,6
